City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,piton saint-leu,-21.2196,55.3151,20.78,94,75,10.29,RE,1689433897
473,mlalo,-4.9333,38.9333,25.07,67,43,5.32,TZ,1689433897
474,kota kinabalu,5.9749,116.0724,25.99,78,20,0.51,MY,1689433574
475,kidal,18.4411,1.4078,38.85,22,18,2.22,ML,1689433804
476,magadan,59.5667,150.8,11.44,81,0,2.49,RU,1689433898
477,al ain city,24.1917,55.7606,41.79,20,20,4.63,AE,1689433898
478,kimbe,-5.5502,150.1429,24.37,81,91,3.61,PG,1689433898
479,chernyshevskiy,63.0128,112.4714,5.53,70,40,0.89,RU,1689433898
480,parker,32.7668,-97.8003,32.07,65,20,0.89,US,1689433702
481,baise city,23.8997,106.6133,27.64,74,99,1.09,CN,1689433899
482,galesong,-5.3166,119.3661,24.01,79,50,2.96,ID,1689433899
483,el colorado,-26.3081,-59.3729,16.92,49,2,2.16,AR,1689433830
484,ambert,45.55,3.75,33.12,55,68,2.43,FR,1689433899
485,kirakira,-10.4544,161.9205,25.03,95,100,3.25,SB,1689433899
486,ponta delgada,37.7333,-25.6667,21.4,78,40,6.17,PT,1689433899
487,east ballina,-28.8667,153.5833,11.56,76,0,3.42,AU,1689433899
488,alaghsas,17.0187,8.0168,35.58,29,31,8.29,NE,1689433899
489,sinan,34.8262,126.1086,23.48,96,100,6.14,KR,1689433900
490,kalifornsky,60.4183,-151.29,12.19,98,100,3.6,US,1689433900
491,andergrove,-21.0833,149.1833,20.36,80,57,7.74,AU,1689433900
492,laojunmiao,39.8333,97.7333,25.32,24,63,2.76,CN,1689433900
493,robertsonpet,12.9667,78.2833,26.57,59,100,5.66,IN,1689433900
494,kita,13.0349,-9.4895,35.15,34,100,1.04,ML,1689433900
495,san andres,12.5847,-81.7006,30.01,79,40,7.2,CO,1689433900
496,vilhena,-12.7406,-60.1458,29.01,35,0,1.84,BR,1689433900
497,lorengau,-2.0226,147.2712,27.84,80,96,6.33,PG,1689433901
498,greenfield,42.9614,-88.0126,26.81,70,0,4.12,US,1689433727
499,waterford,42.7023,-83.4027,22.49,89,100,2.57,US,1689433765
500,palmerston north,-40.35,175.6167,12.64,92,92,0.45,NZ,1689433711
501,carbonear,47.7332,-53.2148,25.91,77,97,4.1,CA,1689433901
502,brisas de zicatela,15.8369,-97.0419,30.29,66,75,2.57,MX,1689433901
503,mochudi,-24.4167,26.15,21.33,28,6,1.64,BW,1689433901
504,lodja,-3.4833,23.4333,36.6,22,34,0.62,CD,1689433901
505,usinsk,65.9939,57.5281,23.3,47,0,3.11,RU,1689433901
506,san-pedro,4.7485,-6.6363,27.3,73,31,3.78,CI,1689433901
507,makarska,43.2969,17.0178,34.11,55,0,1.29,HR,1689433902
508,phillip island,-38.4835,145.231,10.27,88,0,6.43,AU,1689433902
509,emporia,38.4039,-96.1817,27.51,73,0,4.63,US,1689433895
510,broken hill,-31.95,141.4333,9.17,85,2,7.0,AU,1689433902
511,morehead city,34.7229,-76.726,31.69,84,75,6.17,US,1689433902
512,hammerfest,70.6634,23.6821,16.25,63,100,2.57,NO,1689433902
513,trevelin,-43.0858,-71.4639,0.71,90,82,1.57,AR,1689433902
514,nogliki,51.8333,143.1667,9.9,92,100,2.83,RU,1689433902
515,peace river,56.2501,-117.286,14.17,94,75,1.54,CA,1689433806
516,ilebo,-4.3167,20.5833,36.46,20,3,1.28,CD,1689433903
517,nambucca heads,-30.65,153.0,10.65,66,0,2.46,AU,1689433903
518,yorkton,51.2167,-102.4677,14.38,63,100,6.78,CA,1689433728
519,nebbi,2.4783,31.0889,26.61,50,13,2.84,UG,1689433765
520,bam,29.106,58.357,36.08,7,0,5.76,IR,1689433903
521,la ronge,55.1001,-105.2842,16.12,55,40,5.66,CA,1689433903
522,al jubayl,27.0112,49.6583,34.05,64,33,3.32,SA,1689433903
523,gunnedah,-30.9833,150.25,11.68,73,33,1.56,AU,1689433903
524,recani,31.2846,-4.2688,41.44,6,22,7.95,MA,1689433904
525,akrehamn,59.2667,5.1833,20.14,68,75,7.72,NO,1689433904
526,gazli,40.1333,63.45,35.53,12,0,6.01,UZ,1689433904
527,manggar,-2.8833,108.2667,26.2,83,93,4.61,ID,1689433904
528,nishinoomote,30.7333,131.0,27.41,84,68,6.14,JP,1689433904
529,goba,7.0167,39.9833,13.48,83,93,2.39,ET,1689433904
530,ulsteinvik,62.3432,5.8487,20.55,76,99,2.8,NO,1689433904
531,cermik,38.1361,39.4493,36.28,11,0,5.03,TR,1689433904
532,bathsheba,13.2167,-59.5167,29.31,70,89,7.23,BB,1689433904
533,palmer,42.1584,-72.3287,29.03,66,75,2.57,US,1689433704
534,tutoia,-2.7619,-42.2744,29.87,60,4,5.97,BR,1689433717
535,villa gesell,-37.2639,-56.973,9.47,74,9,8.36,AR,1689433905
536,kertih,4.5141,103.4483,26.36,85,77,0.49,MY,1689433905
537,okha,53.5739,142.9478,11.53,83,5,3.21,RU,1689433905
538,litvinov,50.6042,13.6181,37.01,21,8,2.76,CZ,1689433905
539,zapala,-38.8992,-70.0544,2.91,47,50,4.96,AR,1689433905
540,borogontsy,62.6683,131.1683,7.36,97,28,0.84,RU,1689433905
541,gizo,-8.103,156.8419,26.79,85,95,6.54,SB,1689433906
542,abepura,-2.6333,140.5833,24.45,83,20,1.54,ID,1689433906
543,mariental,-24.6333,17.9667,20.63,16,0,1.62,NA,1689433906
544,chonchi,-42.6128,-73.8092,7.84,89,95,1.16,CL,1689433906
545,levuka,50.1834,-105.4011,15.84,63,54,6.48,CA,1689433906
546,mawlaik,23.6333,94.4167,25.61,97,100,0.27,MM,1689433906
547,bodo,67.28,14.405,14.69,67,75,2.57,NO,1689433906
548,calama,-22.4667,-68.9333,17.27,4,0,6.69,CL,1689433765
549,urengoy,65.9667,78.3667,16.51,56,64,4.1,RU,1689433906
550,ha'il,27.5219,41.6907,39.27,7,2,5.62,SA,1689433907
551,parede,38.6928,-9.3541,26.21,50,20,8.23,PT,1689433907
552,kendari,-3.945,122.4989,23.31,87,98,1.17,ID,1689433907
553,darwin,-12.4611,130.8418,22.99,83,0,0.0,AU,1689433907
554,kourou,5.1552,-52.6478,30.03,77,27,4.0,GF,1689433907
555,timbuktu,16.7735,-3.0074,37.62,28,43,2.96,ML,1689433907
556,salekhard,66.53,66.6019,21.03,50,20,3.77,RU,1689433907
557,victorica,-36.2151,-65.4359,10.37,37,0,4.09,AR,1689433907
558,biloela,-24.4167,150.5,13.68,76,0,2.87,AU,1689433908
559,sao joao da barra,-21.6403,-41.0511,23.05,53,29,3.52,BR,1689433908
560,tshabong,-26.05,22.45,22.04,25,5,2.27,BW,1689433908
561,ciudad lazaro cardenas,17.9583,-102.2,29.73,68,61,1.11,MX,1689433908
562,longonjo,-12.9067,15.2533,27.98,12,0,0.68,AO,1689433908
563,port hedland,-20.3167,118.5667,17.03,45,0,2.57,AU,1689433908
